zip,total_calls,NAME,variable,estimate,moe,pct_of_calls
20707,1,ZCTA5 20707,population,25094,765,0.1631321370309951
20814,10,ZCTA5 20814,population,22688,589,1.631321370309951
20815,6,ZCTA5 20815,population,24087,658,0.9787928221859705
20816,4,ZCTA5 20816,population,11810,399,0.6525285481239804
20817,18,ZCTA5 20817,population,27626,764,2.936378466557912
20832,2,ZCTA5 20832,population,20092,557,0.3262642740619902
20833,1,ZCTA5 20833,population,5607,421,0.1631321370309951
20837,2,ZCTA5 20837,population,4777,238,0.3262642740619902
20841,3,ZCTA5 20841,population,7787,560,0.48939641109298526
20850,43,ZCTA5 20850,population,41178,1027,7.01468189233279
20851,6,ZCTA5 20851,population,11671,770,0.9787928221859705
20852,56,ZCTA5 20852,population,36732,1013,9.135399673735726
20853,20,ZCTA5 20853,population,23927,810,3.262642740619902
20854,8,ZCTA5 20854,population,36864,784,1.3050570962479608
20855,12,ZCTA5 20855,population,12213,759,1.957585644371941
20860,2,ZCTA5 20860,population,1677,290,0.3262642740619902
20861,1,ZCTA5 20861,population,1328,260,0.1631321370309951
20866,5,ZCTA5 20866,population,11997,685,0.8156606851549755
20871,14,ZCTA5 20871,population,12558,632,2.2838499184339316
20872,8,ZCTA5 20872,population,9786,476,1.3050570962479608
20874,62,ZCTA5 20874,population,45448,1322,10.114192495921696
20876,22,ZCTA5 20876,population,22429,952,3.588907014681892
20877,50,ZCTA5 20877,population,29390,1038,8.156606851549755
20878,43,ZCTA5 20878,population,47893,1024,7.01468189233279
20879,20,ZCTA5 20879,population,19333,1026,3.262642740619902
20882,8,ZCTA5 20882,population,11093,561,1.3050570962479608
20886,25,ZCTA5 20886,population,26199,1069,4.078303425774878
20889,1,NA,NA,NA,NA,0.1631321370309951
20895,14,ZCTA5 20895,population,13798,474,2.2838499184339316
20901,19,ZCTA5 20901,population,27179,814,3.0995106035889073
20902,40,ZCTA5 20902,population,39237,1126,6.525285481239804
20903,6,ZCTA5 20903,population,20093,1091,0.9787928221859705
20904,40,ZCTA5 20904,population,42250,1214,6.525285481239804
20905,4,ZCTA5 20905,population,14577,945,0.6525285481239804
20906,51,ZCTA5 20906,population,54629,1193,8.31973898858075
20910,31,ZCTA5 20910,population,36327,1216,5.057096247960848
21794,1,ZCTA5 21794,population,1665,333,0.1631321370309951
